"年","月","日","時","分","縣市","區","死","受傷","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","受傷程度","主要傷處","保護裝備","行動電話","當事者區分","車輛用途","當事者行動狀態","駕駛資格情形","駕駛執照種類","飲酒情形","車輛撞擊部位最初","車輛撞擊部位其他","肇事因素個別","肇事因素主要","肇事逃逸","職業","旅次目的","車種","GPS座標緯度","GPS座標經度","事故類別"
"2019","3","1","9","36","臺中市","太平區","0","1","8","1","5","50","3","1","1","5","4","5","7","1","1","5","5","4","2","12","26","3","10","1","1","B03","7","9","1","8","2","5","","26","26","1","19","5","B03","24.125395","120.713372","2"
"2019","3","1","9","39","臺中市","南區","0","1","8","1","5","50","4","1","1","5","4","5","7","3","1","5","5","5","2","15","6","3","10","1","1","B03","7","9","1","8","2","4","","6","6","1","4","5","B03","24.121458","120.665602","2"
"2019","3","1","9","40","臺中市","潭子區","0","1","8","1","5","50","4","1","1","5","4","5","7","1","1","5","4","4","1","12","6","3","10","4","5","F03","7","6","8","20","2","16","","6","6","1","22","9","F03","24.20643","120.709931","2"
"2019","3","1","9","43","臺中市","北屯區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","1","21","","B03","24.190141","120.682814","3"
"2019","3","1","9","51","臺中市","南區","0","1","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","16","6","3","10","1","1","B03","7","5","1","8","2","1","","6","6","1","21","8","B03","24.132998","120.679358","2"
"2019","3","1","9","52","臺中市","北屯區","0","2","8","1","5","40","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C04","7","9","1","7","2","11","","6","6","1","20","8","C04","24.180515","120.66648","2"
"2019","3","1","9","54","臺中市","北區","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B12","","","1","","11","","","12","","2","5","","B12","24.145588","120.673455","3"
"2019","3","1","9","55","臺中市","新社區","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","17","","1","9","","B12","24.233836","120.777755","3"
"2019","3","1","10","9","臺中市","西屯區","0","0","8","","","60","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","22","","B03","24.200264","120.655445","3"
"2019","3","1","10","12","臺中市","潭子區","0","0","8","","","60","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.211046","120.70544","3"
"2019","3","1","10","16","臺中市","北屯區","0","0","8","","","40","","","","","","","","","","","","","","","19","","","","","B03","","","1","","2","","","19","19","1","5","","B03","24.174466","120.681505","3"
"2019","3","1","10","20","臺中市","大肚區","0","2","8","1","5","50","14","13","1","5","4","5","7","4","4","9","5","5","1","13","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","7","8","C03","24.168903","120.533651","2"
"2019","3","1","10","25","臺中市","烏日區","0","1","8","1","5","50","4","2","1","5","4","5","7","2","1","4","4","5","2","13","16","3","10","1","1","A12","7","9","1","7","2","1","","16","16","1","21","8","A12","24.107311","120.650404","2"
"2019","3","1","10","27","臺中市","大里區","0","1","8","1","5","40","3","2","1","5","4","5","7","4","4","10","5","5","1","18","42","2","9","1","1","A42","7","5","1","1","2","15","","42","42","1","10","1","A42","24.086418","120.663711","2"
"2019","3","1","10","28","臺中市","沙鹿區","0","1","8","1","5","40","14","8","1","5","4","5","7","4","4","1","4","4","1","12","18","3","10","1","1","B03","7","3","1","8","2","5","","18","18","1","4","8","B03","24.249086","120.602556","2"
"2019","3","1","10","30","臺中市","北區","0","0","8","1","6","50","13","9","1","5","4","5","7","4","4","10","5","5","2","11","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.160975","120.678919","3"
"2019","3","1","10","35","臺中市","西區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","16","","1","5","","B12","24.153592","120.655101","3"
"2019","3","1","10","48","臺中市","霧峰區","0","1","8","1","5","40","3","1","1","5","4","5","7","3","1","10","5","5","2","16","8","3","10","1","1","B12","7","5","1","8","2","8","","8","8","1","9","8","B12","24.074123","120.709943","2"
"2019","3","1","10","50","臺中市","南區","0","0","8","1","5","50","14","7","1","5","4","5","7","4","4","1","4","4","2","13","16","3","10","1","1","B03","7","9","1","8","2","1","","16","16","1","22","8","B03","24.132696","120.683681","3"
"2019","3","1","10","54","臺中市","北區","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","1","22","","B03","24.1709","120.6754","3"
"2019","3","1","10","55","臺中市","神岡區","0","0","8","","","40","","","","","","","","","","","","","","","16","","","","","C03","","","1","","2","","","16","16","1","21","","C03","24.268867","120.673416","3"
"2019","3","1","11","0","臺中市","北區","0","1","8","1","5","50","5","2","1","5","4","5","7","2","1","10","5","5","2","17","6","3","10","1","1","B03","7","5","1","8","2","15","","6","6","1","22","8","B03","24.1547","120.6863","2"
"2019","3","1","11","8","臺中市","神岡區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","19","","1","3","","B03","24.257361","120.659781","3"
