年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分_類別,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
2018,12,5,23,18,臺中市,沙鹿區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B03,7,5,1,8,2,8,  ,6,6,1,21,8,B03,24.227453,120.57475,2
2018,12,5,23,40,臺中市,南屯區,0,1,0,8,3,5,40,14,9,1,5,4,5,7,4,4,1,4,5,2,17,13,2,9,1,1,B03,7,9,1,8,2,1,  ,13,13,1,21,8,B03,24.147069,120.604497,2
2018,12,6,0,8,臺中市,潭子區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,8,,1,22,,B03,24.198397,120.721881,3
2018,12,6,0,20,臺中市,沙鹿區,0,1,0,8,3,5,50,3,20,2,5,4,5,7,1,1,10,5,5,2,14,23,2,8,1,1,C03,7,5,1,15,2,14,  ,23,23,1,18,8,C03,24.22704,120.575767,2
2018,12,6,0,30,臺中市,大雅區,0,1,0,8,3,5,40,4,1,1,5,4,5,7,3,1,10,5,5,2,17,6,3,10,1,1,B03,7,9,1,8,2,7,  ,6,6,1,22,9,B03,24.231367,120.623738,2
2018,12,6,0,52,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,4,,2,,,23,,1,22,,B03,24.17201,120.651675,3
2018,12,6,3,2,臺中市,北區,0,1,0,8,3,5,50,4,2,1,5,4,5,7,1,1,1,4,4,2,16,25,3,10,1,1,B03,7,9,6,18,11,1,  ,25,25,1,21,8,B03,24.171681,120.67192,2
2018,12,6,3,15,臺中市,龍井區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,2,9,1,4,C03,7,5,1,10,2,11,  ,14,6,1,18,8,C03,24.180694,120.589147,2
2018,12,6,6,0,臺中市,北屯區,0,1,0,8,2,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,3,4,B12,7,5,4,10,2,1,  ,6,6,1,7,8,B12,24.195286,120.747558,2
2018,12,6,6,40,臺中市,北屯區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,1,4,4,2,18,23,2,9,1,1,C03,7,9,1,10,2,14,  ,23,23,1,4,8,C03,24.182352,120.702026,2
2018,12,6,6,41,臺中市,沙鹿區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,2,1,10,5,5,2,3,15,2,9,1,1,C03,7,9,1,10,2,11,  ,15,15,1,18,8,C03,24.217143,120.580309,2
2018,12,6,6,53,臺中市,梧棲區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,44,  ,  ,  ,,C03,24.248327,120.538432,3
2018,12,6,6,58,臺中市,西屯區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,,1,22,,B03,24.178388,120.624924,3
2018,12,6,7,3,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,4,2,16,27,3,10,1,1,B03,7,6,1,8,2,6,  ,27,27,1,22,8,B03,24.177255,120.66939,2
2018,12,6,7,10,臺中市,龍井區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,2,  ,6,6,1,22,8,B03,24.19103,120.598867,2
2018,12,6,7,17,臺中市,沙鹿區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,26,,1,2,,B03,24.226789,120.575167,3
2018,12,6,7,21,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,  ,  ,  ,  ,B12,  ,  ,1,  ,2,  ,  ,16,16,1,  ,  ,B12,24.16816,120.687057,3
2018,12,6,7,33,臺中市,西區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,2,5,2,14,12,3,10,1,1,B03,7,2,1,8,2,6,  ,12,12,1,5,1,B03,24.140347,120.667046,2
2018,12,6,7,34,臺中市,烏日區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,8,3,10,1,1,B01,7,5,1,4,2,1,  ,8,8,1,10,8,B01,24.108022,120.650525,2
2018,12,6,7,34,臺中市,梧棲區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,2,,B03,24.255149,120.537791,3
2018,12,6,7,34,臺中市,大雅區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,3,4,4,1,12,19,3,10,1,1,B03,7,1,1,8,2,4,  ,19,19,1,22,9,B03,24.238683,120.632459,2
2018,12,6,7,39,臺中市,西屯區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,18,42,2,8,1,1,C03,7,9,1,10,2,14,  ,42,42,1,21,8,C03,24.177321,120.6632,2
2018,12,6,7,40,臺中市,大甲區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,1,17,10,3,10,1,1,B03,7,11,1,8,2,4,  ,10,10,1,21,8,B03,24.357956,120.633516,2
2018,12,6,7,43,臺中市,西屯區,0,1,0,8,1,5,40,3,2,1,5,4,5,7,2,1,2,4,4,2,16,43,3,10,3,4,B03,7,6,1,8,2,2,  ,43,43,1,22,8,B03,24.183277,120.61536,2
2018,12,6,7,45,臺中市,南屯區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,8,1,1,C03,7,9,1,10,2,11,  ,6,6,1,22,9,C03,24.142757,120.600157,2
2018,12,6,7,50,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,12,7,3,10,3,4,C03,7,8,1,10,2,13,  ,7,7,1,22,9,C03,24.171476,120.644305,2
2018,12,6,7,52,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,2,9,1,1,C03,7,9,1,10,2,11,  ,14,6,1,4,1,C03,24.17184,120.687676,2
2018,12,6,7,52,臺中市,大里區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,19,,1,12,,C03,24.094283,120.714963,3
2018,12,6,7,53,臺中市,太平區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,2,12,40,3,10,1,1,B03,7,14,1,8,2,2,  ,40,40,1,4,1,B03,24.151988,120.721045,2
2018,12,6,7,54,臺中市,沙鹿區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,4,4,9,5,5,2,17,6,3,10,1,1,B01,7,9,1,3,2,5,  ,6,6,1,10,8,B01,24.232446,120.556558,2
2018,12,6,7,54,臺中市,大安區,0,0,0,8,,,,,,,,,,,,,,,,,,26,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,26,26,1,21,  ,B03,24.335236,120.596016,3
2018,12,6,7,55,臺中市,太平區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,2,  ,6,6,1,2,8,B03,24.132358,120.723982,2
2018,12,6,8,0,臺中市,大里區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,4,4,10,5,5,2,29,67,  ,  ,  ,  ,   ,  ,  ,  ,  ,  ,  ,  ,67,67,1,  ,  ,   ,24.088075,120.695902,2
2018,12,6,8,0,臺中市,龍井區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,1,1,10,5,5,2,16,25,2,9,1,1,C03,7,9,1,10,2,11,  ,25,25,1,22,8,C03,24.176993,120.576856,2
2018,12,6,8,0,臺中市,大肚區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,,1,21,,B03,24.154844,120.544651,3
2018,12,6,8,1,臺中市,西區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,1,1,10,5,5,2,16,42,3,10,1,1,B03,7,6,1,8,2,6,  ,42,42,1,21,8,B03,24.155071,120.662595,2
2018,12,6,8,1,臺中市,梧棲區,0,2,0,8,1,5,40,3,1,1,5,4,5,7,1,1,10,5,5,2,16,25,2,9,1,1,C03,7,5,1,10,2,12,  ,25,25,1,5,8,C03,24.241699,120.532531,2
2018,12,6,8,1,臺中市,大雅區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,13,23,3,10,1,1,B03,7,9,1,8,2,1,  ,23,23,1,22,9,B03,24.22032,120.654202,2
2018,12,6,8,10,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,,1,  ,,B03,24.142225,120.64089,3
2018,12,6,8,12,臺中市,南屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,F03,,,8,,2,,,23,,1,22,,F03,24.140555,120.640741,3
2018,12,6,8,16,臺中市,北屯區,0,0,0,8,1,5,50,14,9,1,5,4,5,7,2,1,1,3,5,2,13,23,3,10,1,1,B03,7,9,1,8,2,1,  ,23,23,1,  ,8,B03,24.170636,120.698188,3
2018,12,6,8,17,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.182437,120.71537,3
2018,12,6,8,20,臺中市,龍井區,0,3,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,7,1,1,C03,7,9,1,10,2,12,  ,6,6,1,22,8,C03,24.180553,120.587196,2
2018,12,6,8,21,臺中市,西屯區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.180962,120.619247,3
2018,12,6,8,24,臺中市,太平區,0,1,0,8,1,5,50,3,7,1,5,4,5,7,4,4,5,4,4,2,16,26,3,10,1,1,B12,7,5,1,8,2,6,  ,26,26,1,21,1,B12,24.151699,120.703349,2
2018,12,6,8,25,臺中市,西區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,1,4,4,2,16,16,2,9,1,1,C03,7,9,1,10,2,11,  ,16,16,1,5,9,C03,24.148355,120.674128,2
2018,12,6,8,25,臺中市,烏日區,0,0,,8,,,60,,,,,,,,,,,,,,,16,,,,,B02,,,1,,2,,,67,16,1,  ,,B02,24.105564,120.620366,3
2018,12,6,8,29,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,4,7,1,1,10,5,5,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,  ,16,16,1,21,8,C03,24.194265,120.686471,2
2018,12,6,8,35,臺中市,大甲區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,1,2,42,3,10,1,1,B12,7,9,1,8,2,15,  ,42,42,1,21,8,B12,24.347516,120.62507,2
2018,12,6,8,36,臺中市,西屯區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,10,4,5,2,16,23,2,9,1,1,C03,7,9,1,10,2,14,  ,23,23,1,21,8,C03,24.17263,120.663883,2
2018,12,6,8,37,臺中市,太平區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,16,34,3,10,2,1,G03,7,15,1,8,2,8,  ,34,34,1,6,4,G03,24.138991,120.711402,2
2018,12,6,8,39,臺中市,西屯區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,2,18,42,2,9,3,4,C03,7,9,1,10,2,15,  ,42,42,1,22,8,C03,24.185532,120.623949,2
2018,12,6,8,40,臺中市,梧棲區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,18,,1,3,,B12,24.251865,120.529264,3
2018,12,6,8,42,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,16,,1,  ,,B03,24.201347,120.678404,3
2018,12,6,8,45,臺中市,南區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.122374,120.659849,3
2018,12,6,8,46,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,5,5,5,2,16,6,3,10,3,4,C03,7,6,6,18,2,13,  ,6,6,1,22,9,C03,24.171873,120.636943,2
2018,12,6,8,52,臺中市,神岡區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,17,,1,21,,B03,24.264407,120.676829,3
2018,12,6,9,1,臺中市,西屯區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,10,4,4,2,16,7,2,9,1,1,C03,7,9,1,10,2,12,  ,13,7,1,22,8,C03,24.177434,120.66684,2
2018,12,6,9,7,臺中市,大雅區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,23,,1,22,,B12,24.208771,120.641866,4
2018,12,6,9,9,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,  ,,B03,24.164789,120.654265,3
2018,12,6,9,10,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,23,,1,21,,C03,24.097712,120.719051,3
2018,12,6,9,11,臺中市,南屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,22,,B12,24.147071,120.623046,3
2018,12,6,9,16,臺中市,東區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,17,43,2,9,1,1,C03,7,9,1,10,2,11,  ,43,43,1,5,8,C03,24.129131,120.699483,2
2018,12,6,9,17,臺中市,后里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.315935,120.677956,3
2018,12,6,9,26,臺中市,西屯區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,4,4,5,4,5,2,3,23,2,9,1,1,C03,7,9,1,10,2,15,  ,23,23,1,22,9,C03,24.185067,120.625093,2
2018,12,6,9,27,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,5,5,5,2,16,8,2,9,1,1,C03,7,5,1,10,2,14,  ,8,8,1,21,8,C03,24.170595,120.61093,2
2018,12,6,9,28,臺中市,烏日區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,1,16,43,3,10,1,1,A12,7,9,1,3,2,4,  ,43,43,1,22,8,A12,24.110178,120.627608,2
2018,12,6,9,30,臺中市,潭子區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,3,1,5,5,5,2,15,19,3,10,1,1,C03,7,1,1,10,2,11,  ,19,19,1,22,9,C03,24.215522,120.705984,2
2018,12,6,9,33,臺中市,北屯區,0,0,0,8,1,7,80,14,9,1,5,4,5,7,4,4,1,3,5,2,12,23,3,10,1,1,B03,7,9,1,8,2,4,  ,23,23,1,21,8,B03,24.182378,120.721646,3
2018,12,6,9,50,臺中市,大肚區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,,1,21,,B03,24.155851,120.547926,3
2018,12,6,9,52,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,26,,1,22,,B03,24.170828,120.640527,3
2018,12,6,9,55,臺中市,潭子區,0,0,,8,1,5,50,3,2,1,5,4,5,7,4,4,5,5,5,1,14,,,,,,B12,,,1,,2,,,12,,1,22,,B12,24.22002,120.70816,3
2018,12,6,10,0,臺中市,北區,0,1,0,8,1,5,40,14,8,1,5,4,5,7,4,4,5,4,4,2,17,17,2,9,1,1,C03,7,9,1,10,2,14,  ,17,17,1,22,9,C03,24.156038,120.679288,2
2018,12,6,10,10,臺中市,西區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,17,23,3,10,1,1,C03,7,9,1,10,2,14,  ,23,23,1,5,7,C03,24.148845,120.652905,2
2018,12,6,10,12,臺中市,西區,0,2,0,8,1,5,40,5,1,1,5,4,5,7,1,1,5,5,5,1,16,9,2,9,1,1,C03,7,6,1,10,2,12,  ,9,9,1,21,8,C03,24.145564,120.658684,2
2018,12,6,10,20,臺中市,大甲區,0,1,0,8,1,5,70,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,A41,7,11,1,3,2,4,  ,6,6,1,10,9,A41,24.408215,120.643233,2
2018,12,6,10,27,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,16,,1,22,,B03,24.175296,120.666895,3
2018,12,6,10,42,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,19,,1,  ,,B12,24.173487,120.6894,3
2018,12,6,10,46,臺中市,太平區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,6,,B03,24.15823,120.718891,3
2018,12,6,10,50,臺中市,大安區,0,0,0,8,1,6,40,14,9,1,5,4,5,7,4,4,9,4,5,1,16,43,3,10,1,1,B03,7,9,1,8,2,2,  ,43,43,1,3,1,B03,24.346518,120.585936,3
2018,12,6,10,52,臺中市,太平區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,1,  ,6,6,1,21,8,B03,24.101773,120.716854,2
2018,12,6,10,52,臺中市,大雅區,0,1,0,8,1,5,50,3,22,1,5,4,5,7,4,4,1,4,4,1,16,6,3,10,1,1,B12,7,6,1,8,2,2,  ,6,6,1,22,9,B12,24.217987,120.646372,2
2018,12,6,10,56,臺中市,南屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B02,,,1,,2,,,12,,1,  ,,B02,24.139436,120.620645,3
2018,12,6,10,56,臺中市,大里區,0,2,0,8,1,5,40,14,9,1,5,4,5,7,3,1,9,5,4,1,17,8,2,9,4,5,F01,7,5,8,20,2,16,  ,8,8,1,20,8,F01,24.080201,120.696421,2
2018,12,6,10,57,臺中市,烏日區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,20,,B03,24.106128,120.626323,4
2018,12,6,11,6,臺中市,神岡區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,7,,1,21,,B12,24.273885,120.665028,3
2018,12,6,11,13,臺中市,大肚區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,22,,B12,24.172395,120.582428,3
2018,12,6,11,14,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,2,9,1,1,C03,7,9,1,10,2,11,  ,25,25,1,21,8,C03,24.173103,120.687827,2
2018,12,6,11,14,臺中市,北屯區,0,1,0,8,1,5,50,14,7,1,5,4,3,7,4,4,5,5,4,2,17,23,2,9,1,1,C03,7,9,1,10,2,12,  ,23,23,1,21,8,C03,24.170593,120.692353,2
2018,12,6,11,15,臺中市,東區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,12,16,2,2,1,1,B03,7,9,1,8,2,1,  ,16,16,1,22,8,B03,24.142105,120.71067,2
2018,12,6,11,23,臺中市,西區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,25,3,10,1,1,B01,7,9,1,4,2,8,  ,25,25,1,10,9,B01,24.14887,120.673621,2
2018,12,6,11,29,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,A02,,,1,,2,,,23,,1,10,,A02,24.16712,120.720676,3
2018,12,6,11,32,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,42,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,42,42,1,  ,  ,B03,24.162145,120.650113,3
2018,12,6,11,33,臺中市,外埔區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,12,,1,4,,B12,24.342348,120.637575,3
2018,12,6,11,35,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,21,,B03,24.103196,120.684667,3
2018,12,6,11,40,臺中市,龍井區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B03,,,3,,2,,,23,,1,22,,B03,24.18637,120.577651,3
2018,12,6,11,45,臺中市,大肚區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,14,12,3,10,1,1,B03,7,2,1,6,2,3,  ,12,12,1,21,8,B03,24.151994,120.543475,2
2018,12,6,11,54,臺中市,梧棲區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,3,,2,,,6,,1,12,,C03,24.254892,120.530101,3
2018,12,6,11,55,臺中市,新社區,0,0,0,,,,40,,,,,,,,,,,,,,,19,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,19,19,1,  ,  ,B03,24.208671,120.803151,3
2018,12,6,12,1,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,5,  ,6,6,1,21,8,B03,24.130463,120.682084,2
2018,12,6,12,4,臺中市,大雅區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,1,2,9,1,1,C03,7,4,1,10,2,11,  ,1,1,1,22,9,C03,24.220897,120.645936,2
2018,12,6,12,8,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,44,,,,,B03,,,1,,2,,,26,44,1,18,,B03,24.096353,120.701566,3
2018,12,6,12,9,臺中市,北區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,12,6,2,9,3,4,C03,7,5,1,10,2,12,  ,6,6,1,5,8,C03,24.15533,120.685863,2
2018,12,6,12,15,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,17,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,17,17,1,22,  ,B03,24.269238,120.65671,4
2018,12,6,12,18,臺中市,大里區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,7,,11,,,43,,1,  ,,B03,24.111047,120.696538,3
2018,12,6,12,22,臺中市,西屯區,0,2,0,8,1,5,50,15,8,1,5,4,5,7,1,1,4,4,4,2,17,43,2,9,1,1,C03,7,11,1,10,2,11,  ,43,43,1,22,9,C03,24.178413,120.650274,2
2018,12,6,12,29,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,2,9,1,1,B03,7,9,1,8,2,5,  ,6,6,1,22,8,B03,24.17027,120.715837,2
2018,12,6,12,36,臺中市,西屯區,0,1,0,8,1,5,60,4,1,1,5,4,5,7,1,1,1,5,5,2,16,26,3,10,1,1,B12,7,6,1,8,2,2,  ,26,26,1,22,8,B12,24.201407,120.644142,2
2018,12,6,12,48,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,  ,  ,  ,  ,B12,  ,  ,1,  ,2,  ,  ,16,16,1,5,  ,B12,24.196123,120.747696,3
2018,12,6,12,50,臺中市,大甲區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,8,2,9,1,1,C03,7,5,2,18,2,14,  ,8,8,1,22,9,C03,24.34225,120.61606,2
2018,12,6,12,57,臺中市,太平區,0,1,0,8,1,5,50,4,9,1,5,4,5,7,1,1,4,3,5,1,16,9,2,9,1,1,C03,7,5,1,10,2,12,  ,43,9,1,21,1,C03,24.128724,120.717759,2
2018,12,6,13,0,臺中市,梧棲區,0,1,0,8,1,5,40,14,9,1,5,4,5,7,4,4,10,5,5,2,16,19,3,10,1,1,C03,7,1,1,10,2,12,  ,19,19,1,12,3,C03,24.230279,120.533539,2
2018,12,6,13,4,臺中市,南屯區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.153826,120.62412,3
2018,12,6,13,4,臺中市,大甲區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,5,5,5,2,17,19,3,10,1,1,C03,7,1,1,10,2,14,  ,19,19,1,5,9,C03,24.342241,120.622591,2
2018,12,6,13,10,臺中市,大里區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,6,,1,21,,C03,24.094723,120.706187,3
2018,12,6,13,18,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,3,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,23,23,1,21,  ,B03,24.15683,120.656986,3
2018,12,6,13,25,臺中市,南屯區,0,1,0,8,1,5,40,5,1,1,5,4,5,7,2,1,10,5,5,2,16,7,3,10,1,1,B03,7,10,1,8,2,2,  ,7,7,1,22,9,B03,24.150633,120.612307,2
2018,12,6,13,30,臺中市,南屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,,3,  ,  ,  ,B12,  ,  ,1,  ,2,  ,  ,23,  ,1,22,  ,B12,24.138503,120.610847,3
2018,12,6,13,33,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,17,13,2,9,1,1,C03,7,9,1,10,2,14,  ,13,13,1,22,9,C03,24.146879,120.64079,2
2018,12,6,13,36,臺中市,北區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,4,3,4,2,12,26,3,10,3,4,B03,7,11,1,2,2,4,  ,26,26,1,5,8,B03,24.16691,120.672744,2
2018,12,6,13,37,臺中市,南屯區,0,0,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B11,7,5,1,4,2,2,  ,6,6,1,22,8,B11,24.136307,120.606907,3
2018,12,6,13,44,臺中市,中區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,10,5,5,2,3,42,3,10,1,1,A05,7,6,1,2,2,5,  ,42,42,1,10,9,A05,24.139256,120.684406,2
2018,12,6,13,44,臺中市,外埔區,0,1,0,8,1,5,50,11,9,1,5,4,5,7,4,4,5,5,5,1,21,23,2,9,1,1,C03,7,9,1,10,2,11,  ,23,23,1,22,9,C03,24.330538,120.635673,2
2018,12,6,13,46,臺中市,西區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,A12,,,1,,2,,,23,,1,5,,A12,24.14439,120.664009,3
2018,12,6,13,47,臺中市,西區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,23,3,10,1,1,B03,7,5,1,6,2,1,  ,23,23,1,21,8,B03,24.136931,120.679105,2
2018,12,6,13,50,臺中市,大里區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,12,  ,6,6,1,21,8,C03,24.102832,120.676339,2
2018,12,6,13,55,臺中市,大雅區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B11,,,1,,2,,,19,,1,  ,,B11,24.234295,120.648618,3
2018,12,6,14,0,臺中市,西屯區,0,3,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,25,3,10,3,4,B02,7,9,1,8,2,1,  ,25,25,1,22,9,B02,24.179458,120.634546,2
2018,12,6,14,5,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,42,42,1,21,  ,B03,24.179893,120.634436,3
2018,12,6,14,9,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,A21,,,1,,2,,,17,,1,  ,,A21,24.201027,120.658919,3
