年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分_類別,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
2018,12,1,8,40,臺中市,南區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,6,2,8,1,1,C03,7,5,4,11,2,12,  ,6,6,1,4,8,C03,24.113915,120.665694,2
2018,12,1,8,40,臺中市,東勢區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,2,1,10,5,5,1,16,9,3,10,1,1,B12,7,6,1,8,2,2,  ,9,9,1,22,9,B12,24.2644,120.826,2
2018,12,1,8,41,臺中市,西區,0,0,0,8,1,5,50,14,9,1,5,4,5,7,4,4,10,5,5,2,29,,3,  ,  ,  ,C03,  ,  ,1,  ,1,  ,  ,44,  ,1,21,  ,C03,24.138411,120.660997,3
2018,12,1,8,43,臺中市,大雅區,0,1,0,8,1,5,60,4,8,1,5,4,5,7,1,1,9,4,4,1,12,23,2,9,1,1,C03,7,9,1,10,2,11,  ,23,23,1,22,9,C03,24.23942,120.67254,2
2018,12,1,8,45,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,26,,1,22,,C03,24.108976,120.692833,3
2018,12,1,8,47,臺中市,潭子區,0,0,0,8,,,40,,,,,,,,,,,,,,,6,  ,  ,  ,  ,C03,  ,  ,1,  ,2,  ,  ,6,6,1,22,  ,C03,24.213499,120.70027,3
2018,12,1,8,50,臺中市,南區,0,1,0,8,1,5,50,13,7,1,4,4,5,7,4,4,1,4,4,2,13,23,3,10,1,1,A04,7,9,1,2,2,5,  ,23,23,1,21,8,A04,24.130591,120.674036,2
2018,12,1,8,52,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,6,  ,6,6,1,21,8,B03,24.176195,120.635335,2
2018,12,1,8,54,臺中市,大里區,0,2,0,8,1,5,40,14,9,1,5,4,5,7,4,4,10,5,5,1,12,17,2,8,1,1,C03,7,9,1,10,2,12,  ,17,17,1,21,8,C03,24.11588,120.69235,2
2018,12,1,8,56,臺中市,西屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,12,23,2,9,1,1,C03,7,9,1,10,2,11,  ,23,23,1,22,8,C03,24.179743,120.614784,2
2018,12,1,9,0,臺中市,東區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,18,13,2,9,1,1,C03,7,9,1,10,2,14,  ,13,13,1,5,8,C03,24.14005,120.691552,2
2018,12,1,9,2,臺中市,南區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,11,  ,6,6,1,21,8,C03,24.13414,120.680446,2
2018,12,1,9,10,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,25,2,3,3,4,B03,7,9,1,8,2,4,  ,25,25,1,19,8,B03,24.185213,120.66346,2
2018,12,1,9,11,臺中市,西屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,13,23,2,9,3,4,C03,7,9,4,8,2,11,  ,23,23,1,21,8,C03,24.167372,120.653215,2
2018,12,1,9,13,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,16,8,2,9,4,5,F01,7,5,8,20,2,16,  ,8,8,1,22,9,F01,24.120772,120.628797,2
2018,12,1,9,16,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,11,23,2,1,1,1,C03,7,9,1,10,2,14,  ,23,23,1,4,8,C03,24.123581,120.665738,2
2018,12,1,9,20,臺中市,清水區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,4,4,5,5,5,2,15,6,2,9,1,1,F01,7,9,8,20,2,16,  ,14,6,1,22,8,F01,24.288976,120.613868,2
2018,12,1,9,25,臺中市,北屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,19,,B12,24.201208,120.668683,3
2018,12,1,9,27,臺中市,大肚區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.150025,120.545986,3
2018,12,1,9,30,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,,1,  ,,B03,24.200552,120.660046,3
2018,12,1,9,31,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,  ,  ,  ,  ,A11,  ,  ,1,  ,2,  ,  ,23,23,1,21,  ,A11,24.164836,120.711851,3
2018,12,1,9,32,臺中市,北屯區,0,0,0,8,,,80,,,,,,,,,,,,,,,23,3,  ,  ,  ,B12,  ,  ,1,8,2,  ,  ,23,23,1,21,  ,B12,24.201126,120.675378,3
2018,12,1,9,37,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,23,,1,22,,C03,24.150076,120.635626,3
2018,12,1,9,40,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.096713,120.69595,3
2018,12,1,9,46,臺中市,東勢區,0,1,0,8,1,5,60,3,1,1,5,4,5,7,2,1,1,4,4,1,17,17,3,10,1,1,B03,7,9,1,8,2,2,  ,17,17,1,9,8,B03,24.25803,120.824371,2
2018,12,1,9,48,臺中市,梧棲區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,  ,,B03,24.242262,120.53754,3
2018,12,1,9,58,臺中市,西屯區,0,1,0,8,1,5,40,5,2,1,5,4,5,7,4,4,10,5,5,2,16,43,3,10,3,4,B03,7,9,1,8,2,4,  ,43,43,1,22,8,B03,24.157886,120.64836,2
2018,12,1,10,0,臺中市,神岡區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,21,,B12,24.278944,120.656689,3
2018,12,1,10,1,臺中市,太平區,0,0,0,8,,,40,,,,,,,,,,,,,,,12,  ,  ,  ,  ,B12,  ,  ,1,  ,9,  ,  ,12,12,2,9,  ,B12,24.148951,120.702112,3
2018,12,1,10,10,臺中市,沙鹿區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,,1,21,,B03,24.232583,120.564902,4
2018,12,1,10,12,臺中市,清水區,0,2,0,8,1,5,50,14,13,1,5,4,5,7,4,4,5,5,5,1,8,23,2,8,4,1,F03,7,9,8,20,2,16,  ,23,23,1,9,8,F03,24.266126,120.582876,2
2018,12,1,10,19,臺中市,后里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,22,,B12,24.305116,120.71296,3
2018,12,1,10,20,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,5,,B03,24.152338,120.617511,3
2018,12,1,10,20,臺中市,清水區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,12,,1,21,,B12,24.269524,120.578683,3
2018,12,1,10,23,臺中市,中區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,C03,7,6,1,10,2,12,  ,6,6,1,5,7,C03,24.139731,120.677821,2
2018,12,1,10,37,臺中市,北區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,2,9,1,1,B01,7,9,1,4,2,4,  ,44,25,1,5,8,B01,24.16519,120.676887,2
2018,12,1,10,39,臺中市,西區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,9,3,10,1,1,B03,7,6,1,8,2,2,  ,9,9,1,21,8,B03,24.13669,120.671835,2
2018,12,1,10,40,臺中市,西屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,2,1,1,4,4,2,11,19,2,9,3,4,C03,7,5,1,10,2,11,  ,5,19,1,21,8,C03,24.177159,120.669417,2
